ANO;ID_HOGAR;ISLA;COMARCA;peso_h;HC001A;HUH001A;HUH002A;HUH002B;HUH002C;HUH002D;HUH002E;HUH002F;HUH002G;HVC001A;HVC006A;HVC006B;HVC006C;HVC006D;HVC006E;HVC006F;HVC006G;HVC006H;HVC006I;HVT001A;HVT002A;HVT002C;HVT003B;HVT005A;HVT006A;HVT006B;HVE003AA;HVE003BA;HVE003DA;HVE003EA;HVE003GA;HVE003HA;HVE003W;HVE003X;HVE003S;HVE003JA;HVE003KA;HVE003NA;HVE003T;HVE003U;HVE003LA;HVE003MA;HVE003RA;HVE001LB;HVE001MB;HVE001RB;HVE002A;HES001A;HES001N;HES001O;HES001Q;HES001P;HEM001A;HEM001B;HEM001C;HEM001D;HEM001E;HEM002A;HEM002B;HEM002C;HEM002D;HEM002E;HEM003A;HEM003C;HEM003B;HEE001A;HEE001B;HEE001C;HEE001D;HEE001E;HEE001M;HEE001F;HEE001G;HEE001H;HEE001I;HEE001J;HEE001K;HEE001L;HSC001A;HSC002A;HSC003A;HSS001A;HSS002A;HSS003A;HSS006A;HSS006B;HSS006C;HSS006D;HSS004M;HSS004N;HSS004O;HSS004P;HSS004A;HSS004Q;HSS004R;HSS004B;HSS004S;HSS004T;HSS004C;HSS004E;HSS004F;HSS004G;HSS004H;HSS004I;HSS005A;HSS005B;HSS005C;HSS005E;HSI001AA;HSI001AB;HSI001BA;HSI001BB;HSI001CA;HSI001CB;HSI001DA;HSI001DB;HSI001EA;HSI001EB;HSI001FA;HSI001FB;HSI002A;HSI002C;HSI003A;HSI003C;DVC005A;DVC005B;DVC005C;DVC005D;DVC008A;DCH001L;DCH001M;DCH002A;DCH002B;DCH002J;DCH002H;DCH002X;DCH002G;DCH003A;DCH004A;DCH005A;DCH006A;DCH007A;DCH007B;DCH008A;DCH009A;DCH001K;RO16MAS;RPA16MAS;RPE16MAS;SEXO;REDAD;PD003B;DFC001B;DEA005A;FAMILIA_2V;THOGAR_2V;PIT001A;PBSI;PTCI;PGI;HIPP;HIP;HBSH;HIS;HG;HI;HID;PIE;HIDM;LP;DLP;LPI;FI;PIP;PERCIR;RPERCIR
2018;1;30;33;225.04554103;3;1;-1;-1;-1;-1;-1;-1;-1;3;6;6;6;6;6;6;6;6;6;2;-1;-1;480;2;6;-1;1;1;1;1;1;6;1;1;1;6;1;1;6;1;1;1;1;3;3;1;1;2;1;1;1;1;4;4;4;1;4;-1;-1;-1;4;-1;1;1;1;8;9;7;6;8;9;8;8;9;5;8;7;5;1;6;-1;3;2500;4;1;1;1;6;6;-1;6;-1;6;6;6;6;6;-1;6;6;1;6;6;6;4;2;2;1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;6;6;6;0;0;0;2;1;1;0;0;0;2;0;0;0;0;1;2;0;0;100;0;0;6;33;1;2;1;3;5;2550;0;0;-70.83;0;2550;0;0;-70.83;2550;2620.83;1456.02;873.61;1;1;1;1;100;2;66.67
2018;2;30;33;118.54845781;2;1;-1;-1;-1;-1;-1;-1;-1;4;6;6;6;6;6;6;6;6;6;1;1;400;-1;2;6;-1;1;1;6;6;6;6;1;6;6;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;4;4;4;4;4;-1;-1;-1;-1;-1;1;1;1;10;10;10;10;10;10;10;10;10;10;10;10;10;6;1;2;3;3000;4;1;1;1;1;6;6;6;-1;6;6;6;6;6;-1;6;6;6;6;6;6;3;3;3;5;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;1;60;6;6;6;6;0;0;0;2;0;0;0;0;1;2;0;0;0;0;0;2;0;0;100;0;0;6;47;6;2;1;2;3;2000;0;0;0;0;2000;0;0;60;2000;1940;1293.33;970;1;1;1;1;100;2;100
2018;3;30;33;162.974338;3;3;6;6;6;6;1;-1;-1;2;6;6;6;6;6;6;6;6;6;1;6;-1;-1;2;6;-1;1;1;1;6;6;6;1;1;1;1;1;1;6;6;1;1;1;3;6;3;1;1;1;1;1;1;4;4;4;4;4;-1;-1;-1;-1;-1;1;1;1;10;8;9;9;10;10;10;9;10;9;7;7;9;1;6;-1;4;1800;4;1;1;1;1;-1;-1;6;-1;6;6;6;6;6;1;6;6;6;6;6;6;3;3;4;-1;1;500;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;1;400;6;6;6;6;0;2;0;3;0;0;0;0;2;0;1;2;0;0;0;1;2;2;0;33.33;66.67;6;65;2;4;3;3;7;0;3500;0;64.83;500;500;0;3500;464.83;4000;3535.17;1767.58;1178.39;1;1;1;2;12.5;2;66.67
2018;4;30;33;195.70255314;1;1;-1;-1;-1;-1;-1;-1;-1;3;6;1;6;6;6;6;6;6;6;2;-1;-1;390;2;6;-1;1;1;1;6;6;6;1;1;1;6;1;1;6;6;1;1;1;1;1;1;1;1;1;1;2;1;4;4;4;1;4;-1;-1;-1;4;-1;1;1;1;7;8;6;7;8;8;7;8;-1;3;1;3;2;6;6;-1;5;1000;6;1;1;1;1;6;-1;6;-1;6;6;6;6;6;-1;6;6;6;6;1;6;3;4;3;4;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;1;6;6;6;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;100;0;0;6;51;1;3;1;1;1;1750;0;0;0;0;1750;0;0;0;1750;1750;1750;1750;1;1;1;1;100;1;100
2018;5;30;33;367.15261556;2;1;-1;-1;-1;-1;-1;-1;-1;2;6;1;1;6;1;1;6;6;6;1;6;-1;-1;1;6;-1;1;2;2;2;2;2;1;1;2;2;1;2;2;2;1;2;1;1;-1;1;6;3;3;1;1;1;4;4;4;4;1;-1;-1;-1;-1;1;1;1;1;7;2;9;8;8;10;10;2;4;3;3;5;8;2;6;-1;2;800;1;6;1;6;6;-1;-1;1;-1;1;-1;6;6;6;6;6;6;1;1;6;6;2;1;1;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;1;1;1;6;4;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;50;0;1;56;4;2;2;5;10;0;530;0;0;0;0;0;530;0;530;530;353.33;265;2;2;0;2;0;2;100
2018;6;30;33;61.452246387;2;1;-1;-1;-1;-1;-1;-1;-1;3;6;6;6;6;6;6;6;6;6;1;6;-1;-1;2;6;-1;1;1;6;6;6;6;1;1;1;6;1;1;6;6;1;1;1;1;1;1;6;2;2;2;2;1;4;4;3;4;4;-1;-1;-1;-1;-1;2;1;1;7;8;7;8;8;10;10;10;8;10;-1;5;7;1;6;-1;3;900;4;6;1;1;1;-1;-1;6;-1;6;6;6;6;6;-1;6;6;6;6;6;6;3;3;3;4;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;6;6;6;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;56;2;3;5;2;3;0;754.31;0;114.17;0;0;0;754.31;114.17;754.31;640.14;426.76;320.07;2;2;0;2;0;1;50
2018;7;30;33;174.43391078;3;1;-1;-1;-1;-1;-1;-1;-1;3;6;6;6;6;6;6;6;6;6;3;-1;-1;-1;1;6;-1;1;1;1;6;1;6;1;1;1;6;1;1;6;6;1;1;1;2;1;2;6;2;1;1;1;1;3;3;3;3;3;-1;-1;-1;-1;-1;4;1;3;8;8;7;8;10;8;8;4;6;5;3;6;8;1;6;-1;3;2400;4;1;1;1;1;-1;-1;6;6;6;1;6;6;6;-1;6;6;1;6;6;6;2;2;3;4;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;6;6;6;0;0;1;2;1;1;0;0;1;2;0;0;0;0;0;2;0;0;100;0;0;6;29;1;4;1;3;5;2200;100;0;0;0;2200;0;100;0;2300;2300;1277.78;766.67;1;1;1;1;95.65;2;66.67
2018;8;30;33;121.83412215;1;3;6;6;6;6;1;-1;-1;2;6;1;6;6;6;1;6;1;6;1;6;-1;-1;2;6;-1;1;6;1;6;6;6;1;6;6;6;1;6;1;6;6;6;6;-1;-1;-1;6;1;1;1;1;1;4;4;4;4;4;-1;-1;-1;-1;-1;2;1;1;6;6;4;7;5;7;7;8;-1;8;7;6;4;2;6;-1;4;1000;4;1;1;1;1;-1;-1;6;-1;6;-1;6;6;6;-1;6;6;6;6;6;6;3;3;3;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;1;6;1;1;3;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;100;6;80;3;2;3;1;2;0;850;0;0;0;0;0;850;0;850;850;850;850;1;1;1;2;0;1;100
2018;9;30;33;303.2150458;4;1;-1;-1;-1;-1;-1;-1;-1;3;6;6;6;6;6;1;1;1;6;2;-1;-1;500;1;6;-1;1;1;6;1;6;6;1;1;6;6;6;1;6;6;1;1;1;2;3;1;6;2;2;1;2;1;4;4;4;4;4;-1;-1;-1;-1;-1;4;4;1;8;8;7;9;7;8;8;8;9;6;6;7;-1;1;1;2;2;3200;3;1;1;1;1;6;6;6;-1;6;6;6;6;6;-1;6;6;1;6;6;6;2;4;4;2;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;6;1;1;3;0;0;2;2;2;0;0;0;2;0;0;0;0;2;2;0;0;100;0;0;6;34;1;4;1;3;6;1200;0;0;-16.67;0;1200;0;0;-16.67;1200;1216.67;579.37;304.17;2;2;0;1;100;1;25
2018;10;30;33;227.02426444;3;1;-1;-1;-1;-1;-1;-1;-1;4;1;6;6;6;6;6;6;6;6;1;1;360;-1;2;6;-1;1;1;1;1;1;6;1;1;1;6;1;1;6;1;1;1;1;2;3;2;6;2;1;1;1;1;4;4;4;4;1;-1;-1;-1;-1;4;1;1;1;6;9;6;6;6;9;9;5;6;6;7;5;8;1;1;2;4;1800;4;1;1;1;1;6;6;6;6;6;6;6;6;6;-1;6;6;6;6;6;6;4;5;5;3;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;6;-1;1;6;6;6;1;0;1;2;1;1;0;0;0;2;0;0;0;0;0;2;0;0;100;0;0;1;36;2;3;1;3;5;2800;100;0;-75;0;2800;0;100;-75;2900;2975;1652.78;991.67;1;1;1;1;96.55;2;66.67
